,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Offer title (if available),Start date,End date,Detailed offer text (if available),Logo link,Offer image,Redeem link,Promo code (if available),Online/ Offline,"If offline, cities"
112,,Aeropostale,Aeropostale,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/aeropostale/156542,,Online,
113,,Donuts,Donuts,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/donuts/156544,,Online,
114,,Ruggers,Ruggers,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/ruggers/156546,,Online,
115,,colt,colt,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/colt/156548,,Online,
116,,Karigari,Karigari,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/karigari/156550,,Online,
117,,Anahi,Anahi,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/anahi/156552,,Online,
118,,Sugr,Sugr,Apparel ,,,15th September 2024,Buy for 1999/- and get extra 15% off,,,https://www.visa.co.in/en_in/visa-offers-and-perks/sugr/156554,,Online,
119,,Homcentre (Offer 2),Homcentre (Offer 2),Home,,,31st March 2024,"Rs.400 Off. Valid on Homeware purchase on App or Website. Min Bill value Rs.2,999 (Private labels only)",,,https://www.visa.co.in/en_in/visa-offers-and-perks/homecentre/156558,,Online ,
120,,Happilo ,Happilo ,Others ,,,15th September 2024,Flat 37.5% OFF for Visa Card Customers,,,https://www.visa.co.in/en_in/visa-offers-and-perks/happilo/156700,,Online ,
121,,Myntra (Offer 1),Myntra (Offer 1),Apparel ,,,31st March 2024,"Offer 1: Additional 10% OFF up to INR 300 on min. cart value of INR 999 
",,,https://www.visa.co.in/en_in/visa-offers-and-perks/myntra/156568,,Online ,
122,,Myntra (Offer 2),Myntra (Offer 2),Dining ,,,31st March 2024,"Offer 2: Additional INR 150 OFF on min. cart value of INR 1,099 
",,,https://www.visa.co.in/en_in/visa-offers-and-perks/myntra/156358,,Online ,
123,,Medibuddy,Medibuddy,Health & Wellness,,,15th September 2024,Full Body Health Checkup worth Rs.1899 at just Rs.649 (80+ Tests),,,https://www.visa.co.in/en_in/visa-offers-and-perks/medibuddy/156688,,Online ,
124,,Myntra (Offer 3),Myntra (Offer 3),Apparel ,,,15th September 2024,"Additional INR 250 OFF on min. cart value of INR 1,499",,,https://www.visa.co.in/en_in/visa-offers-and-perks/myntra/156720,,Online ,
125,,Codingal ,Codingal ,Education & Upskilling ,,,15th September 2024,25% discount on any course on Codingal,,,https://www.visa.co.in/en_in/visa-offers-and-perks/codingle/151479,,Online ,
126,,Myglamm,Myglamm,Health & Wellness,,,31st March 2024,Rs500 off on a spend of Rs 899,,,https://www.visa.co.in/en_in/visa-offers-and-perks/myglamm/150282,,Online,
127,,The Moms Co,The Moms Co,Health & Wellness,,,31st March 2024,"Flat 50%, min txn-499, max dis amt 500",,,https://www.visa.co.in/en_in/visa-offers-and-perks/the-moms-co/157276,,Online,
128,,Mirraw,Mirraw,Apparel ,,,31st March 2024,get 15% off on minimum purchase of Rs. 1499,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mirraw/157266,,Online,
129,,Fable Street,Fable Street,Apparel ,,,31st March 2024,Get 20% of on minimum purchase of Rs. 1999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/fable-street/157268,,Online,
130,,Pink Fort,Pink Fort,Apparel ,,,31st March 2024,Get 20% of on minimum purchase of Rs. 1999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/pink-fort/157272,,Online,
131,,March Jewellery,March Jewellery,Accessories,,,31st March 2024,Get Rs. 300 off on Rs. 999,,,https://www.visa.co.in/en_in/visa-offers-and-perks/the-moms-co/157276,,Online,
132,,Healthifyme ,Healthifyme ,Health & Wellness,,,31st March 2024,"Offer 1: Additional 5% off on HealthifyMe Foods and Devices 
Offer 2: Additional 10% off on HealthifyMe Services",,,https://www.visa.co.in/en_in/visa-offers-and-perks/healthifyme/157226,,Online ,
133,,Nutrabay ,Nutrabay ,Health & Wellness,,,31st March 2024,"Offer 1: Rs.150 off on First Purchase on a minimum order value of Rs. 749, applicable on Nutrabay range of products 

Offer 2: Rs. 150 off on First Purchase on a minimum order value of Rs. 1499, applicable Sitewide",,,https://www.visa.co.in/en_in/visa-offers-and-perks/nutrabay/157228,,Online ,
134,,Howard Johnson ,Howard Johnson ,Travel,,,15th September 2024,FLAT 20% OFF on BAR Rates,,,https://www.visa.co.in/en_in/visa-offers-and-perks/howard-johnson/156708,,Online ,
135,,Bhairavgarh Palace,Bhairavgarh Palace,Travel,,,15th September 2024,FLAT 20% OFF on BAR Rates,,,https://www.visa.co.in/en_in/visa-offers-and-perks/bhairavgarh-palace/156710,,Online ,
136,,Zooboo,Zooboo,Others ,,,15th September 2024,Free Personalized Storybooks for kids worth Rs.399,,,https://www.visa.co.in/en_in/visa-offers-and-perks/zooboo/156692,,Online ,
137,,Mojo Bar ,Mojo Bar ,Others ,,,31st March 2024,Get Additional 25% OFF on orders above Rs. 499,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mojo-bar/158788,,Online ,
138,,Rentomojo ,Rentomojo ,Home,,,31st March 2024,Flat 50% off on 2nd month's rent upto Rs. 1000 on a MOV of Rs. 2000,,,https://www.visa.co.in/en_in/visa-offers-and-perks/rentomojo/158790,,Online ,
139,,Dot & Key ,Dot & Key ,Health & Wellness,,,30th September 2024,Flat 20% Off Sitewide + 5% Prepaid Discount.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/dot-key/159236,,Online ,
140,,Mcdelivery (Offer 1) ,Mcdelivery (Offer 1) ,Dining ,,,31st March 2024,Get a Free McVeggie / McChicken On purchase of ₹ 299.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mcdelivery/159234,,Online ,
141,,Mcdelivery (Offer 2) ,Mcdelivery (Offer 2) ,Dining ,,,31st March 2024,Get a Free Medium Fries On Purchase of ₹249.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mcdelivery/159232,,Online ,
142,,Mcdelivery (Offer 3) ,Mcdelivery (Offer 3) ,Dining ,,,31st March 2024,Get Big Spicy Paneer Wrap/Big Spicy Chicken Wrap On Purchase of ₹ 399,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mcdelivery/159230,,Online ,
143,,Mcdelivery (Offer 4) ,Mcdelivery (Offer 4) ,Dining ,,,31st March 2024,Get McSpicy Paneer/McSpicy Chicken Burger On Purchase of ₹ 399.,,,https://www.visa.co.in/en_in/visa-offers-and-perks/mcdelivery/159228,,Online ,
144,,Bewakoof ,Bewakoof ,Apparel ,,,30th September 2024,15% off on a minimum transaction of Rs 499 at Bewakoof,,,https://www.visa.co.in/en_in/visa-offers-and-perks/bewakoof/159226,,Online ,
145,,Zee5,Zee5,Entertainment,,,31st March 2024,FLAT 15% OFF on ZEE5 Premium HD and ZEE5 Premium 4K Annual Pack,,,https://www.visa.co.in/en_in/visa-offers-and-perks/zee5/158792,,Online ,
146,,Foxtale ,Foxtale ,Health & Wellness,,,31st July 2024,Flat 20% off on orders above 899,,,,,Online ,
147,,  Kiro Beauty ,  Kiro Beauty ,Health & Wellness,,,15th September 2024,Flat 20% sitewide discount ,,,,,Online ,
148,,Juicy Chemistry ,Juicy Chemistry ,Health & Wellness,,,15th September 2024,Additional 5% Off ,,,,,Online ,
