,Bank Name,Merchant Name,Link to offer on Bank site (for reference),Category,Detailed offer text (if available),Promo code (if available),Online/ Offline
0,standard chartered,Amazon ,https://www.gyftr.com/sc-instavouchers/amazon-shopping-voucher-gift-vouchers,Retail,brand voucher amazon ,No Promocode,Online
1,standard chartered,Archies Gallery,https://www.gyftr.com/sc-instavouchers/archies-gallery-gift-vouchers,Gifts,Flat 10% OFF,SCDISA0,Online
2,standard chartered,Armani Exchange-Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-armani-exchange-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
3,standard chartered,Arrow,https://www.gyftr.com/sc-instavouchers/arrow-gift-vouchers,Fashion,Flat 10% OFF,SCDISA0,Offline
4,standard chartered,Aurelia,https://www.gyftr.com/sc-instavouchers/aurelia-gift-vouchers,Fashion,Flat 7.5% OFF,SCDIS0A0,Offline
5,standard chartered,Balenzia,https://www.gyftr.com/sc-instavouchers/balenzia-gift-vouchers,Fashion,Flat 20% OFF,SCALL20,Online
6,standard chartered,Bata,https://www.gyftr.com/sc-instavouchers/bata-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISBATA0,Offline
7,standard chartered,Bewakoof,https://www.gyftr.com/sc-instavouchers/bewakoof-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISBK0,Online
8,standard chartered,Beyoung,https://www.gyftr.com/sc-instavouchers/beyoung-gift-vouchers,Fashion,Flat 20% OFF,SCALL20,Online
9,standard chartered,Bluestone Diamond,https://www.gyftr.com/sc-instavouchers/bluestone-diamond-gift-vouchers,Jewelry,Flat 5% OFF,SCDISPANT5,Online
10,standard chartered,Bluestone Gold Jewellery,https://www.gyftr.com/sc-instavouchers/bluestone-gold-jewellery-gift-vouchers,Jewelry,brand voucher bluestone gold jewellery,No Promocode,Online
11,standard chartered,Bobbi Brown,https://www.gyftr.com/sc-instavouchers/bobbi-brown-gift-vouchers,Beauty,Flat 7.5% OFF,SCDISR07,Offline
12,standard chartered,Brooks Brothers -Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-brooks-brothers-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
13,standard chartered,Campus,https://www.gyftr.com/sc-instavouchers/campus-gift-vouchers,Fashion,Flat 10% OFF,SCDISMC10,Offline
14,standard chartered,Candere Diamond Jewellery,https://www.gyftr.com/sc-instavouchers/candere-diamond-jewellery-gift-vouchers,Jewelry,Flat 5% OFF,SCDISPANT5,Online
15,standard chartered,Candere Gold Jewellery,https://www.gyftr.com/sc-instavouchers/candere-gold-jewellery-gift-vouchers,Jewelry,Flat 1% OFF,SCDISM1,Online
16,standard chartered,Celio,https://www.gyftr.com/sc-instavouchers/celio-gift-vouchers,Fashion,Flat 10% OFF,SCDISOC10,Offline
17,standard chartered,Chumbak,https://www.gyftr.com/sc-instavouchers/chumbak-gift-vouchers,Lifestyle,Flat 10% OFF,SCDISC0,Offline
18,standard chartered,Decathlon,https://www.gyftr.com/sc-instavouchers/decathlon-gift-vouchers,Sports & Fitness,Flat 2% OFF,SCDISDECATH0,Online
19,standard chartered,Dune-Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card--dune-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
20,standard chartered,Elleven,https://www.gyftr.com/sc-instavouchers/elleven-gift-vouchers,Fashion,Flat 7.5% OFF,SCDISR07,Offline
21,standard chartered,Estele,https://www.gyftr.com/sc-instavouchers/estele-gift-vouchers,Fashion,Flat 17.5% OFF,SCESTLE017,Online
22,standard chartered,Euphoria Jewellery Gold Coin,https://www.gyftr.com/sc-instavouchers/euphoria-jewellery-gold-coin-gift-vouchers,Jewelry,Flat 2% OFF,SCDISMB2,Offline
23,standard chartered,Euphoria Jewellery Silver Coin,https://www.gyftr.com/sc-instavouchers/euphoria-jewellery-silver-coin-gift-vouchers,Jewelry,Flat 2% OFF,SCDISMB2,Online
24,standard chartered,Fabindia,https://www.gyftr.com/sc-instavouchers/fabindia-gift-vouchers,Fashion,Flat 3.5% OFF,SCDISFI0,Offline
25,standard chartered,Fashion Factory,https://www.gyftr.com/sc-instavouchers/fashion-factory-gift-vouchers,Fashion,Flat 1% OFF,SCDISM1,Offline
26,standard chartered,Fastrack,https://www.gyftr.com/sc-instavouchers/fastrack-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISF0,Offline
27,standard chartered,Fastrack Bags,https://www.gyftr.com/sc-instavouchers/fastrack-bags-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISF0,Offline
28,standard chartered,Flipkart,https://www.gyftr.com/sc-instavouchers/flipkart-gift-vouchers,Retail,brand voucher flipkart,No Promocode,Online
29,standard chartered,Freecultr,https://www.gyftr.com/sc-instavouchers/freecultr-gift-vouchers,Fashion,Flat 20% OFF,SCDISFC0,Online
30,standard chartered,G-Star-Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-g-star-raw-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
31,standard chartered,Gas-Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-gas-gift-vouchers,Fashion,Flat 10% OFF,No promocode,Offline
32,standard chartered,Gini & Jony,https://www.gyftr.com/sc-instavouchers/gini-&-jony-gift-vouchers,Kids,Flat 5% OFF,SCDISGJ0,Offline
33,standard chartered,Giva,https://www.gyftr.com/sc-instavouchers/giva-gift-vouchers,Gifts,Flat 10% OFF,SCDISOC10,Online
34,standard chartered,Grt Jewellers,https://www.gyftr.com/sc-instavouchers/grt-jewellers-gift-vouchers,Jewelry,brand voucher grt jewellers,No Promocode,Offline
35,standard chartered,Hamleys-Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-–-hamleys-gift-vouchers,Toys & Games,Flat 10% OFF,No promocode,Offline
36,standard chartered,Helios,https://www.gyftr.com/sc-instavouchers/helios-gift-vouchers,Fashion,Flat 5% OFF,SCDISHELIOS0,Offline
37,standard chartered,Hidesign,https://www.gyftr.com/sc-instavouchers/hidesign-gift-vouchers,Fashion,Flat 5% OFF,SCDISHD5,Offline
38,standard chartered,Hush Puppies,https://www.gyftr.com/sc-instavouchers/hush-puppies-gift-vouchers,Fashion,Flat 12.5% OFF,SCDISNM12,Offline
39,standard chartered,Jack & Jones,https://www.gyftr.com/sc-instavouchers/jack-&-jones-gift-vouchers,Fashion,Flat 5% OFF,SCDISJJ5,Offline
40,standard chartered,Jockey,https://www.gyftr.com/sc-instavouchers/jockey-gift-vouchers,Fashion,Flat 10% OFF,SCDISJO10,Online
41,standard chartered,Kalyan Diamond Jewellery,https://www.gyftr.com/sc-instavouchers/kalyan-diamond-jewellery-gift-vouchers,Jewelry,Flat 1% OFF,SCDISM1,Offline
42,standard chartered,Kalyan Gold Jewellery,https://www.gyftr.com/sc-instavouchers/kalyan-gold-jewellery-gift-vouchers,Jewelry,brand voucher kalyan gold jewellery,No Promocode,Offline
43,standard chartered,Ketan Diamonds Gold Coin,https://www.gyftr.com/sc-instavouchers/ketan-diamonds-gold-coin-gift-vouchers,Jewelry,brand voucher ketan diamonds gold coin,No Promocode,Online
44,standard chartered,Kiehls,https://www.gyftr.com/sc-instavouchers/kiehls-gift-vouchers,Beauty,Flat 2% OFF,SCDISK2,Online
45,standard chartered,Levis,https://www.gyftr.com/sc-instavouchers/levis-gift-vouchers,Fashion,Flat 2.5% OFF,SCDISL02,Offline
46,standard chartered,Lifestyle Online,https://www.gyftr.com/sc-instavouchers/lifestyle-online-gift-vouchers,Retail,Flat 5% OFF,SCDISPANT5,Online
47,standard chartered,Love Beauty & Planet,https://www.gyftr.com/sc-instavouchers/love-beauty-planet-gift-vouchers,Personal Care,Flat 10% OFF,SCDISLBP10,Online
48,standard chartered,Luxe ,https://www.gyftr.com/sc-instavouchers/luxe-gift-card-gift-vouchers,Gifts,Flat 10% OFF,No promocode,Offline
49,standard chartered,Max,https://www.gyftr.com/sc-instavouchers/max-gift-vouchers,Fashion,Flat 6% OFF,SCDISMC6,Offline
50,standard chartered,Max Online,https://www.gyftr.com/sc-instavouchers/max-online-gift-vouchers,Fashion,Flat 6% OFF,SCDISMC6,Online
